name     	abstract                                        
----     	--------                                        
sfg1     	GREP from the Functions in the ENVIRONMENT      
debug    	dummy to fill occasional calls                  
pause    	dummy to fill occasional calls                  
functions	identify unique function on named files OR stdin
fbdy     	function bodies                                 
comment  	arguments to Stderr                             
sfl_help 	for the library                                 
sfl_init 	source slf101.lib, then run sfl_init            
sfl_list 	Shell Library 101, library function list        
